------------------------------「演算結果」------------------------------
          | 経過時間(ミリ秒)| ペナルティ(プライオリティ順)
 201 | time: 1182 msec | Optimization: 60 11638 1 14 118 72
 202 | time: 1184 msec | Optimization: 60 11638 1 14 117 72
 203 | time: 1187 msec | Optimization: 60 11637 1 14 124 72
 204 | time: 1190 msec | Optimization: 60 11637 1 14 122 72
 205 | time: 1192 msec | Optimization: 60 11633 1 14 126 72
 206 | time: 1196 msec | Optimization: 60 11633 1 14 126 71
 207 | time: 1199 msec | Optimization: 60 11633 1 14 124 72
 208 | time: 1202 msec | Optimization: 60 11633 1 14 124 71
 209 | time: 1208 msec | Optimization: 60 11631 1 14 128 71
 210 | time: 1212 msec | Optimization: 60 11631 1 14 126 72
 211 | time: 1219 msec | Optimization: 60 11630 1 14 122 71
 212 | time: 1222 msec | Optimization: 60 11626 1 14 126 71
 213 | time: 1225 msec | Optimization: 60 11625 1 14 124 72
 214 | time: 1229 msec | Optimization: 60 11624 1 14 128 72
 215 | time: 1237 msec | Optimization: 60 11566 1 14 127 69
 216 | time: 1241 msec | Optimization: 60 11565 1 14 129 69
 217 | time: 1244 msec | Optimization: 60 11565 1 14 127 69
 218 | time: 1246 msec | Optimization: 60 11565 1 14 126 69
 219 | time: 1248 msec | Optimization: 60 11565 1 14 124 69
 220 | time: 1251 msec | Optimization: 60 11561 1 14 128 69
 221 | time: 1255 msec | Optimization: 60 11561 1 14 126 69
 222 | time: 1258 msec | Optimization: 60 11560 1 14 126 70
 223 | time: 1261 msec | Optimization: 60 11560 1 14 124 70
 224 | time: 1264 msec | Optimization: 60 11559 1 14 130 70
 225 | time: 1266 msec | Optimization: 60 11559 1 14 128 70
 226 | time: 1270 msec | Optimization: 60 11559 1 14 128 69
 227 | time: 1271 msec | Optimization: 60 11558 1 14 128 69
 228 | time: 1274 msec | Optimization: 60 11558 1 14 124 69
 229 | time: 1277 msec | Optimization: 60 11553 1 14 126 70
 230 | time: 1281 msec | Optimization: 60 11552 1 14 130 70
 231 | time: 1288 msec | Optimization: 60 11516 1 14 126 68
 232 | time: 1292 msec | Optimization: 60 11516 1 14 125 69
 233 | time: 1294 msec | Optimization: 60 11516 1 14 124 69
 234 | time: 1297 msec | Optimization: 60 11511 1 14 126 70
 235 | time: 1301 msec | Optimization: 60 11510 1 14 130 70
 236 | time: 1304 msec | Optimization: 60 11510 1 14 126 69
 237 | time: 1307 msec | Optimization: 60 11509 1 14 126 69
 238 | time: 1310 msec | Optimization: 60 11505 1 14 130 69
 239 | time: 1313 msec | Optimization: 60 11504 1 14 128 70
 240 | time: 1316 msec | Optimization: 60 11503 1 14 132 70
 241 | time: 1359 msec | Optimization: 60 11503 1 14 131 70
 242 | time: 1362 msec | Optimization: 60 11503 1 14 130 70
 243 | time: 1367 msec | Optimization: 60 11503 1 14 130 69
 244 | time: 1370 msec | Optimization: 60 11503 1 14 130 68
 245 | time: 1374 msec | Optimization: 60 11503 1 14 130 67
 246 | time: 1421 msec | Optimization: 60 11502 1 15 131 68
 247 | time: 1426 msec | Optimization: 60 11502 1 15 130 68
 248 | time: 1429 msec | Optimization: 60 11502 1 14 134 68
